Year,Count_Label_0,Count_Label_1,Total,Unique_Cat_0_connection_duration,Unique_Cat_1_connection_type,Unique_Cat_2_source_bytes,Unique_Cat_3_destination_byters,Unique_Cat_13_connection_state
2006,50000,416774,466774,109,15,176,175,13
2007,300000,115471,415471,106,13,143,167,13
2008,300000,74713,374713,91,11,133,154,13
2009,299999,109403,409402,103,11,157,143,13
2010,299997,261262,561259,120,12,193,197,13
2011,299999,819248,1119247,120,14,208,185,13
2012,300000,634592,934592,120,12,163,172,13
2013,300000,1238064,1538064,120,13,166,177,13
2014,300000,1822662,2122662,118,13,206,168,13
2015,300000,1804322,2104322,119,15,205,202,13
